Matrice;Feature;TypePredominant;taux
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Uit die blou van onse hemel;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Ons sal antwoord op jou roepstem;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Ruis die stem van ons geliefde;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Ons sal lewe ons sal sterwe;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Afrikaans;Conditional;0.5
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Van ons land SuidAfrika;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Waar die kranse antwoord gee;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Ons sal offer wat jy vra;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Ons vir jou SuidAfrika;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Oor ons ewige gebergtes;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Uit die diepte van ons see;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Met die kreun van ossewa;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparison of sample text;Deur ons vr verlate vlaktes;StringValue;1.0
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;License;StringValue;0.819047619047619
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;Platform;StringValue;0.6976744186046512
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;User Support;StringValue;0.9859550561797753
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;FIPA Compliant;BooleanValue;0.8125
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;3D Capabilities;BooleanValue;0.5384615384615384
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;GIS Capabilities;BooleanValue;0.5454545454545454
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;Programming Language;StringValue;0.85
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;Primary Domain;StringValue;0.9720930232558139
Comparison_of_agentbased_modeling_software   Comparison of ABM Software ;Operating System;StringValue;0.9473684210526315
Comparison_of_alcopops   Beerbased ;Name;StringValue;1.0
Comparison_of_alcopops   Beerbased ;DC;BooleanValue;1.0
Comparison_of_alcopops   Beerbased ;Creator;StringValue;0.8888888888888888
Comparison_of_alcopops   Beerbased ;Sold in;NA;1.0
Comparison_of_alcopops   Beerbased ;Sold mixed with;NA;1.0
Comparison_of_alcopops   Bourbon whiskeybased ;Name;NA;1.0
Comparison_of_alcopops   Bourbon whiskeybased ;Wild Turkey;NA;1.0
Comparison_of_alcopops   Bourbon whiskeybased ;Jim Beam;NA;1.0
Comparison_of_alcopops   Bourbon whiskeybased ;Jack Daniels;NA;1.0
Comparison_of_alcopops   Rumbased ;Bundaberg  X;NA;1.0
Comparison_of_alcopops   Rumbased ;Red Square;NA;1.0
Comparison_of_alcopops   Rumbased ;Name;NA;1.0
Comparison_of_alcopops   Rumbased ;Jewel Isle Rum Punch;NA;1.0
Comparison_of_alcopops   Rumbased ;UDL;NA;1.0
Comparison_of_alcopops   Rumbased ;Bacardi  X;NA;1.0
Comparison_of_alcopops   Rumbased ;Bacardi Breezer;NA;1.0
Comparison_of_alcopops   Scotch whiskybased ;Johnnie Walker;NA;1.0
Comparison_of_alcopops   Scotch whiskybased ;Name;NA;1.0
Comparison_of_alcopops   Scotch whiskybased ;Black Douglas;NA;1.0
Comparison_of_alcopops   Scotch whiskybased ;UDL;NA;1.0
Comparison_of_alcopops   Vodkabased ;Sold in;NA;1.0
Comparison_of_alcopops   Vodkabased ;DC;BooleanValue;1.0
Comparison_of_alcopops   Vodkabased ;Creator;StringValue;1.0
Comparison_of_alcopops   Vodkabased ;Sold mixed with;NA;1.0
Comparison_of_alcopops   Vodkabased ;Name;StringValue;1.0
Comparison_of_alcopops   Other ;Canadian Club;NA;1.0
Comparison_of_alcopops   Other ;Cult Shaker;NA;1.0
Comparison_of_alcopops   Other ;Metz;NA;1.0
Comparison_of_alcopops   Other ;Gordons Gin and Tonic;NA;1.0
Comparison_of_alcopops   Other ;Red Square;NA;1.0
Comparison_of_alcopops   Other ;UDL;NA;1.0
Comparison_of_ALGOL_68_and_C  Comparison of the assignment and equality operators;Intent;StringValue;1.0
Comparison_of_ALGOL_68_and_C  Comparison of the assignment and equality operators;ALGOL 68;StringValue;1.0
Comparison_of_ALGOL_68_and_C  Comparison of the assignment and equality operators;C;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Code name;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Fab (nm);NA;1.0
Comparison_of_AMD_chipsets   AMDxxx ;FSBHT (MHz);Conditional;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Released;StringValue;0.8
Comparison_of_AMD_chipsets   AMDxxx ;Model;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Southbridge;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;CPU support;StringValue;0.8421052631578947
Comparison_of_AMD_chipsets   AMDxxx ;Features  Notes;StringValue;0.9230769230769231
Comparison_of_AMD_chipsets   ALink Express II ;Released;IntegerValue;0.5238095238095238
Comparison_of_AMD_chipsets   ALink Express II ;Features  Notes;StringValue;0.9746835443037974
Comparison_of_AMD_chipsets   ALink Express II ;Codename;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express II ;Fab (nm);IntegerValue;1.0
Comparison_of_AMD_chipsets   ALink Express II ;Southbridge;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express II ;Model;StringValue;0.8695652173913043
Comparison_of_AMD_chipsets   ALink Express II ;CPU support;StringValue;0.984375
Comparison_of_AMD_chipsets   ALink Express II ;HT (MHz);Conditional;0.9090909090909091
Comparison_of_AMD_chipsets   ALink Express II ;IGP;StringValue;0.45454545454545453
Comparison_of_AMD_chipsets   ALink Express II ;CrossFire;StringValue;0.7804878048780488
Comparison_of_AMD_chipsets   ALink Express III ;CrossFire;StringValue;0.8421052631578947
Comparison_of_AMD_chipsets   ALink Express III ;SLI;BooleanValue;0.7272727272727273
Comparison_of_AMD_chipsets   ALink Express III ;IGP;StringValue;0.75
Comparison_of_AMD_chipsets   ALink Express III ;Model;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express III ;Released;StringValue;0.9090909090909091
Comparison_of_AMD_chipsets   ALink Express III ;Products;NA;1.0
Comparison_of_AMD_chipsets   ALink Express III ;Features  Notes;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express III ;Code name;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express III ;CPU support;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express III ;HT (MHz);Conditional;1.0
Comparison_of_AMD_chipsets   ALink Express III ;TDP (W);StringValue;0.875
Comparison_of_AMD_chipsets   ALink Express III ;Southbridge;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express III ;Fab (nm);IntegerValue;0.9090909090909091
Comparison_of_AMD_chipsets   AMDxxx ;Codename;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Released;IntegerValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Parallel ATA;IntegerValue;0.5
Comparison_of_AMD_chipsets   AMDxxx ;Audio;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Model;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Fab (nm);NA;1.0
Comparison_of_AMD_chipsets   AMDxxx ;USB20  11;StringValue;1.0
Comparison_of_AMD_chipsets   AMDxxx ;Features  Notes;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express ;WNIC;StringValue;0.9090909090909091
Comparison_of_AMD_chipsets   ALink Express ;Released;StringValue;0.9166666666666666
Comparison_of_AMD_chipsets   ALink Express ;Fab (nm);IntegerValue;0.9090909090909091
Comparison_of_AMD_chipsets   ALink Express ;NIC;IntegerValue;0.75
Comparison_of_AMD_chipsets   ALink Express ;Package;RealValue;0.6666666666666666
Comparison_of_AMD_chipsets   ALink Express ;Model;StringValue;0.8571428571428571
Comparison_of_AMD_chipsets   ALink Express ;Codename;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express ;RAID;IntegerValue;0.9166666666666666
Comparison_of_AMD_chipsets   ALink Express ;Features  Notes;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express ;TDP (W);StringValue;0.6
Comparison_of_AMD_chipsets   ALink Express ;Parallel ATA;IntegerValue;0.6521739130434783
Comparison_of_AMD_chipsets   ALink Express ;USB2011;StringValue;1.0
Comparison_of_AMD_chipsets   ALink Express ;SATA;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;Part number;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;Features  notes;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;SD;RealValue;0.3333333333333333
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;RAID;IntegerValue;0.8918918918918919
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;Model;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;SATA;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;NIC;IntegerValue;0.84
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;TDP (W);StringValue;0.6666666666666666
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;USB302011;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;VGA DAC;BooleanValue;0.35714285714285715
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;33MHz PCI;StringValue;0.75
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;Codename;StringValue;1.0
Comparison_of_AMD_chipsets   anchorFCH Fusion controller hubs (FCH) ;UMI;StringValue;1.0
Comparison_of_AMD_processors;Family;StringValue;1.0
Comparison_of_AMD_processors;Supported Features;StringValue;0.9974683544303797
Comparison_of_AMD_processors;Socket;StringValue;1.0
Comparison_of_AMD_processors;Process (nm);IntegerValue;0.9323308270676691
Comparison_of_AMD_processors;Code Name;StringValue;0.9928571428571429
Comparison_of_AMD_processors;Cache (KiB);NA;1.0
Comparison_of_AMD_processors;Memory Controller;StringValue;1.0
Comparison_of_AMD_processors;FSBHT(MHz);IntegerValue;0.7814569536423841
Comparison_of_AMD_processors;Speed (MHz);StringValue;0.7028301886792453
Comparison_of_AMD_processors;Architecture;StringValue;1.0
Comparison_of_AMD_processors;Cores;IntegerValue;0.965034965034965
Comparison_of_AMD_processors;Model Group;StringValue;0.925764192139738
Comparison_of_AMD_processors;Products;NA;1.0
Comparison_of_American_and_British_English  School;Age range;StringValue;1.0
Comparison_of_American_and_British_English  School;British English;NA;1.0
Comparison_of_American_and_British_English  School;Products;NA;1.0
Comparison_of_American_and_British_English  School;American English;NA;1.0
Comparison_of_American_and_British_English  Road transport;estate car;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;motorway;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;petrol;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;dual carriageway;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;spanner;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;roadworks;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;gearbox;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;driving licence;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;hood softhard top;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;manual;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;hard shoulder;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;windscreen;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;pavement;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;mudguard wheel arch wing;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;boot;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;hired car hire car;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;car park;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;ticking over;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;saloon;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;UK;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;juggernaut lorry;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;silencer;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;lorry;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;accelerator;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;articulated lorry;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;flyover;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;bonnet;StringValue;1.0
Comparison_of_American_and_British_English  Road transport;car valeting;StringValue;1.0
Comparison_of_American_and_British_English  Equivalent idioms;American English;StringValue;0.8823529411764706
Comparison_of_American_and_British_English  Equivalent idioms;British English;StringValue;1.0
Comparison_of_anaerobic_and_aerobic_digestion;Carbon dioxide;StringValue;1.0
Comparison_of_anaerobic_and_aerobic_digestion;Hydrogen sulfide (trace levels);NA;1.0
Comparison_of_anaerobic_and_aerobic_digestion;Digestate;StringValue;1.0
Comparison_of_anaerobic_and_aerobic_digestion;Anaerobic digestion;StringValue;1.0
Comparison_of_anaerobic_and_aerobic_digestion;Methane;StringValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;txt;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;docx;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;djvu;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;fb2;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;pdf;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;Developer;StringValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;oeb;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;Product;StringValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;epub;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;rtf;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;Formats total ;StringValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;html;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;mobi;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;doc;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;chm;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   File formats supported ;pdb;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Kobo Books;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;iReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Kindle;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;EBookDroid;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Lektz eBook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;FBReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Mantano Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Snapplify;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Product;StringValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Cool Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Moon reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;PocketBook;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Aldiko Book Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;AlReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Google Play Books;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Navigation features ;Socio eReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Mantano Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;FBReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Product;StringValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Google Play Books;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;PocketBook;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;iReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Kobo Books;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Moon reader;BooleanValue;0.9285714285714286
Comparison_of_Android_ebook_reader_software   Display features ;Cool Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;EBookDroid;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Kindle;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;AlReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Aldiko Book Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;OverDrive Media Console;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Socio eReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Display features ;Lektz eBook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Kindle;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Product;StringValue;0.9090909090909091
Comparison_of_Android_ebook_reader_software   Edittool features ;AlReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;PocketBook;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Kobo Books;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Cool Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;FBReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Socio eReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Snapplify;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Aldiko Book Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;EBookDroid;NA;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;iReader;NA;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Mantano Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Lektz eBook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Edittool features ;Moon reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Product;StringValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;iReader;NA;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;FBReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Cool Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Socio eReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Lektz eBook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;EBookDroid;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Moon reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;AlReader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Kobo Books;NA;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Aldiko Book Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Mantano Ebook Reader;BooleanValue;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;Kindle;NA;1.0
Comparison_of_Android_ebook_reader_software   Book source management features ;PocketBook;BooleanValue;1.0
Comparison_of_antivirus_software    ;CloudAV;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;OPSWAT;StringValue;1.0
Comparison_of_antivirus_software    ;Email Security;BooleanValue;0.9736842105263158
Comparison_of_antivirus_software    ;First release;IntegerValue;0.9866666666666667
Comparison_of_antivirus_software    ;Ondemand scan;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;AntiSpam;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;AV Comparatives;BooleanValue;0.9473684210526315
Comparison_of_antivirus_software    ;Company;StringValue;0.9342105263157895
Comparison_of_antivirus_software    ;Heuristics;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;Virus Bulletin VB100;BooleanValue;0.9605263157894737
Comparison_of_antivirus_software    ;Macro protection;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;Support;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;Notes;Conditional;0.6363636363636364
Comparison_of_antivirus_software    ;AVTest;BooleanValue;0.9605263157894737
Comparison_of_antivirus_software    ;License;StringValue;1.0
Comparison_of_antivirus_software    ;Price;StringValue;1.0
Comparison_of_antivirus_software    ;IDS;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;LiveUpdate;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;Onaccess scan;BooleanValue;0.9736842105263158
Comparison_of_antivirus_software    ;Original authors;StringValue;0.9807692307692307
Comparison_of_antivirus_software    ;Boottime scans;BooleanValue;0.9736842105263158
Comparison_of_antivirus_software    ;Web protection;BooleanValue;0.9736842105263158
Comparison_of_antivirus_software    ;Firewall;BooleanValue;0.9736842105263158
Comparison_of_antivirus_software    ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software    ;Software;StringValue;0.9743589743589743
Comparison_of_antivirus_software    ;IPS;BooleanValue;0.9868421052631579
Comparison_of_antivirus_software    ;Support;BooleanValue;1.0
Comparison_of_antivirus_software    ;Email Security;BooleanValue;1.0
Comparison_of_antivirus_software    ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software    ;Company;StringValue;1.0
Comparison_of_antivirus_software    ;Price;StringValue;1.0
Comparison_of_antivirus_software    ;LiveUpdate;BooleanValue;1.0
Comparison_of_antivirus_software    ;First release;IntegerValue;1.0
Comparison_of_antivirus_software    ;Ondemand scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;IDS;BooleanValue;1.0
Comparison_of_antivirus_software    ;Software;StringValue;1.0
Comparison_of_antivirus_software    ;Onaccess scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;Web protection;BooleanValue;0.9090909090909091
Comparison_of_antivirus_software    ;Notes;Conditional;1.0
Comparison_of_antivirus_software    ;IPS;BooleanValue;1.0
Comparison_of_antivirus_software    ;CloudAV;BooleanValue;1.0
Comparison_of_antivirus_software    ;AV Comparatives;BooleanValue;1.0
Comparison_of_antivirus_software    ;License;StringValue;1.0
Comparison_of_antivirus_software    ;Heuristics;BooleanValue;1.0
Comparison_of_antivirus_software    ;Firewall;BooleanValue;1.0
Comparison_of_antivirus_software    ;AntiSpam;BooleanValue;1.0
Comparison_of_antivirus_software    ;CloudAV;BooleanValue;1.0
Comparison_of_antivirus_software    ;Company;StringValue;0.9090909090909091
Comparison_of_antivirus_software    ;IDS;BooleanValue;1.0
Comparison_of_antivirus_software    ;License;StringValue;1.0
Comparison_of_antivirus_software    ;Email security;BooleanValue;1.0
Comparison_of_antivirus_software    ;Heuristics;BooleanValue;1.0
Comparison_of_antivirus_software    ;Price;StringValue;1.0
Comparison_of_antivirus_software    ;Firewall;BooleanValue;1.0
Comparison_of_antivirus_software    ;Web protection;BooleanValue;1.0
Comparison_of_antivirus_software    ;LiveUpdate;BooleanValue;1.0
Comparison_of_antivirus_software    ;Ondemand scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;IPS;BooleanValue;1.0
Comparison_of_antivirus_software    ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software    ;Software;StringValue;1.0
Comparison_of_antivirus_software    ;Notes;NA;1.0
Comparison_of_antivirus_software    ;Onaccess scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;Support;BooleanValue;1.0
Comparison_of_antivirus_software    ;First release;IntegerValue;1.0
Comparison_of_antivirus_software    ;AntiSpam;BooleanValue;1.0
Comparison_of_antivirus_software    ;Firewall;BooleanValue;1.0
Comparison_of_antivirus_software    ;Software;StringValue;1.0
Comparison_of_antivirus_software    ;LiveUpdate;BooleanValue;1.0
Comparison_of_antivirus_software    ;Support;BooleanValue;1.0
Comparison_of_antivirus_software    ;Web protection;BooleanValue;1.0
Comparison_of_antivirus_software    ;AntiSpam;BooleanValue;1.0
Comparison_of_antivirus_software    ;First release;IntegerValue;1.0
Comparison_of_antivirus_software    ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software    ;Onaccess scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;Price;StringValue;1.0
Comparison_of_antivirus_software    ;Notes;NA;1.0
Comparison_of_antivirus_software    ;License;StringValue;1.0
Comparison_of_antivirus_software    ;Email security;BooleanValue;1.0
Comparison_of_antivirus_software    ;Company;StringValue;1.0
Comparison_of_antivirus_software    ;Ondemand scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;Support;BooleanValue;1.0
Comparison_of_antivirus_software    ;Software;StringValue;1.0
Comparison_of_antivirus_software    ;Notes;NA;1.0
Comparison_of_antivirus_software    ;LiveUpdate;BooleanValue;1.0
Comparison_of_antivirus_software    ;Email security;BooleanValue;1.0
Comparison_of_antivirus_software    ;Ondemand scan;BooleanValue;1.0
Comparison_of_antivirus_software    ;Web protection;BooleanValue;1.0
Comparison_of_antivirus_software    ;Company;StringValue;1.0
Comparison_of_antivirus_software    ;First release;IntegerValue;1.0
Comparison_of_antivirus_software    ;License;StringValue;1.0
Comparison_of_antivirus_software    ;Firewall;BooleanValue;1.0
Comparison_of_antivirus_software    ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software    ;Price;StringValue;1.0
Comparison_of_antivirus_software    ;AntiSpam;BooleanValue;1.0
Comparison_of_antivirus_software    ;Onaccess scan;BooleanValue;1.0
Comparison_of_antivirus_software  ;Onaccess scan;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;Support;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;Company;StringValue;0.9722222222222222
Comparison_of_antivirus_software  ;AVTEST;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;First release;IntegerValue;0.9714285714285714
Comparison_of_antivirus_software  ;Web protection;BooleanValue;0.918918918918919
Comparison_of_antivirus_software  ;CallSMS Filtering;BooleanValue;0.9459459459459459
Comparison_of_antivirus_software  ;Country of origin;StringValue;1.0
Comparison_of_antivirus_software  ;Notes;StringValue;1.0
Comparison_of_antivirus_software  ;Ondemand scan;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;Privacy Advisor;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;Price;StringValue;1.0
Comparison_of_antivirus_software  ;Software;StringValue;1.0
Comparison_of_antivirus_software  ;Parental Control;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;Backup;BooleanValue;0.9722222222222222
Comparison_of_antivirus_software  ;AV Comparatives;BooleanValue;0.9722222222222222
